t_ns,steering_tire_angle
1785938901862336522,-0.031536001712083817
1785938901881812900,-0.031536001712083817
1785938901903558539,-0.031536001712083817
1785938901921835579,-0.030879000201821327
1785938901941431512,-0.030879000201821327
1785938901961823985,-0.030879000201821327
1785938901982976995,-0.029565000906586647
1785938902001785286,-0.025622999295592308
1785938902024306887,-0.024965999647974968
1785938902041507475,-0.023652000352740288
1785938902061733670,-0.023652000352740288
1785938902081189150,-0.02233799919486046
1785938902102110313,-0.01905299909412861
1785938902123963539,-0.01642500050365925
1785938902147215758,-0.015768000856041908
1785938902162290065,-0.015111000277101994
1785938902182157207,-0.013140000402927399
1785938902202336233,-0.01116899959743023
1785938902225262008,-0.006570000201463699
1785938902242949268,-0.003942000214010477
1785938902262820827,-0.0026279999874532223
1785938902281769282,0.0
1785938902303866773,0.003942000214010477
1785938902321769688,0.0052559999749064445
1785938902341649055,0.005913000088185072
1785938902361952245,0.006570000201463699
1785938902381404685,0.007226999849081039
1785938902412283276,0.01116899959743023
1785938902422063258,0.014453999698162079
1785938902441799453,0.015768000856041908
1785938902462099282,0.015768000856041908
1785938902481460679,0.01642500050365925
1785938902507702760,0.01708200015127659
1785938902521918797,0.021023999899625778
1785938902541610990,0.023652000352740288
1785938902564495036,0.024309000000357628
1785938902586646640,0.024309000000357628
1785938902606967047,0.02233799919486046
1785938902621941286,0.020367000252008438
1785938902641567076,0.014453999698162079
1785938902662939647,0.007226999849081039
1785938902681595292,0.0026279999874532223
1785938902702607914,-0.006570000201463699
1785938902724744350,-0.014453999698162079
1785938902744014832,-0.01839599944651127
1785938902763024409,-0.023652000352740288
1785938902782220745,-0.031536001712083817
1785938902806902196,-0.03547799959778786
1785938902828116809,-0.041391000151634216
1785938902854443756,-0.045333001762628555
1785938902862309337,-0.046647001057863235
1785938902881509097,-0.051245998591184616
1785938902920583231,-0.056501999497413635
1785938902924786863,-0.058472998440265656
1785938902941502954,-0.059787001460790634
1785938902962003526,-0.060444001108407974
1785938902981610500,-0.060444001108407974
1785938903006606682,-0.061758000403642654
1785938903021894244,-0.065700002014637
1785938903041649191,-0.06701400130987167
1785938903061720725,-0.06701400130987167
1785938903081123659,-0.06767100095748901
1785938903102211228,-0.0689850002527237
1785938903121915549,-0.0722699984908104
1785938903144512609,-0.07292699813842773
1785938903162293312,-0.07358399778604507
1785938903181611348,-0.07489799708127975
1785938903202032430,-0.0755549967288971
1785938903222374916,-0.0755549967288971
1785938903241962914,-0.0755549967288971
1785938903262338906,-0.07489799708127975
1785938903281822739,-0.07358399778604507
1785938903302167018,-0.07292699813842773
1785938903322059026,-0.07292699813842773
1785938903341609261,-0.07292699813842773
1785938903362132843,-0.07292699813842773
1785938903381576131,-0.07489799708127975
1785938903402416171,-0.0755549967288971
1785938903424118096,-0.07621199637651443
1785938903441949265,-0.07621199637651443
1785938903462042399,-0.07621199637651443
1785938903481171405,-0.07489799708127975
1785938903501886608,-0.07161299884319305
1785938903523970115,-0.07029899954795837
1785938903541848165,-0.07029899954795837
1785938903564770677,-0.06964199990034103
1785938903590374271,-0.06832800060510635
1785938903601882600,-0.06438600271940231
1785938903624167169,-0.060444001108407974
1785938903641952481,-0.059130001813173294
1785938903661813159,-0.057815998792648315
1785938903684838266,-0.054531000554561615
1785938903706093360,-0.051902998238801956
1785938903730120805,-0.045990001410245895
1785938903741428007,-0.042704999446868896
1785938903761725660,-0.041391000151634216
1785938903781367419,-0.03744899854063988
1785938903802165282,-0.030879000201821327
1785938903824124976,-0.028250999748706818
1785938903842198489,-0.024309000000357628
1785938903862393259,-0.02168099954724312
1785938903882165743,-0.019710000604391098
1785938903902724973,-0.013797000050544739
1785938903930495937,-0.007884000428020954
1785938903941546875,-0.0052559999749064445
1785938903961757869,-0.0019710001070052385
1785938903981687318,0.0026279999874532223
1785938904002132593,0.006570000201463699
1785938904022113947,0.011826000176370144
1785938904041569908,0.015768000856041908
1785938904061686243,0.01642500050365925
1785938904081437862,0.01773899979889393
1785938904105936810,0.020367000252008438
1785938904124632809,0.022995000705122948
1785938904141299810,0.028250999748706818
1785938904161736252,0.03350700065493584
1785938904182921712,0.03547799959778786
1785938904201798421,0.038763001561164856
1785938904221597305,0.038763001561164856
1785938904241456992,0.038763001561164856
1785938904261271909,0.039420001208782196
1785938904281333298,0.041391000151634216
1785938904306426763,0.042047999799251556
1785938904322301961,0.042704999446868896
1785938904341562267,0.042704999446868896
1785938904366898205,0.042704999446868896
1785938904385648925,0.04401899874210358
1785938904402457403,0.045990001410245895
1785938904422222335,0.045990001410245895
1785938904447638915,0.045990001410245895
1785938904463359228,0.046647001057863235
1785938904483026108,0.047304000705480576
1785938904502403185,0.049274999648332596
1785938904522077842,0.049931999295949936
1785938904541808115,0.049931999295949936
1785938904573090560,0.049931999295949936
1785938904581479935,0.050588998943567276
1785938904602252292,0.050588998943567276
1785938904622223534,0.050588998943567276
1785938904641887470,0.050588998943567276
1785938904662083744,0.050588998943567276
1785938904681711743,0.049274999648332596
1785938904702043605,0.046647001057863235
1785938904722135875,0.046647001057863235
1785938904741158317,0.045990001410245895
1785938904761873841,0.045990001410245895
1785938904780970429,0.04467599838972092
1785938904802043053,0.042047999799251556
1785938904826329963,0.040077000856399536
1785938904841696536,0.040077000856399536
1785938904861987053,0.040077000856399536
1785938904881463494,0.03810599818825722
1785938904902111943,0.0361349992454052
