t_ns,steering_tire_angle
1785941209515945669,-0.07095599919557571
1785941209535981327,-0.07095599919557571
1785941209555877299,-0.07095599919557571
1785941209575649747,-0.07095599919557571
1785941209595630267,-0.0722699984908104
1785941209615611459,-0.0722699984908104
1785941209636037020,-0.0722699984908104
1785941209657291509,-0.0722699984908104
1785941209675912840,-0.07292699813842773
1785941209696296096,-0.07292699813842773
1785941209715393029,-0.07292699813842773
1785941209736436214,-0.07292699813842773
1785941209757469287,-0.07292699813842773
1785941209778577050,-0.07292699813842773
1785941209800055132,-0.07292699813842773
1785941209815411697,-0.07292699813842773
1785941209836492643,-0.07292699813842773
1785941209855940406,-0.07292699813842773
1785941209875127167,-0.07292699813842773
1785941209896456124,-0.07292699813842773
1785941209915532736,-0.07292699813842773
1785941209938675427,-0.07292699813842773
1785941209956054118,-0.07292699813842773
1785941209975463607,-0.07292699813842773
1785941209996058839,-0.07292699813842773
1785941210023970835,-0.07292699813842773
1785941210038637868,-0.07292699813842773
1785941210058177699,-0.07292699813842773
1785941210075492867,-0.07358399778604507
1785941210097026728,-0.07424099743366241
1785941210116204624,-0.07489799708127975
1785941210136458787,-0.07489799708127975
1785941210155812370,-0.07489799708127975
1785941210175714103,-0.07489799708127975
1785941210202306047,-0.07489799708127975
1785941210216365889,-0.07489799708127975
1785941210236936480,-0.07489799708127975
1785941210257005067,-0.07489799708127975
1785941210275263344,-0.07489799708127975
1785941210296066584,-0.0755549967288971
1785941210315610959,-0.0755549967288971
1785941210336259185,-0.0755549967288971
1785941210356533700,-0.0755549967288971
1785941210375500292,-0.0755549967288971
1785941210396177607,-0.07489799708127975
1785941210415455636,-0.07161299884319305
1785941210436637578,-0.07095599919557571
1785941210457306093,-0.07095599919557571
1785941210475384587,-0.07029899954795837
1785941210506368606,-0.07029899954795837
1785941210515665415,-0.07029899954795837
1785941210536868446,-0.07029899954795837
1785941210556701856,-0.06964199990034103
1785941210575224399,-0.06964199990034103
1785941210595553061,-0.06964199990034103
1785941210616627095,-0.06964199990034103
1785941210635823360,-0.06964199990034103
1785941210661136791,-0.06964199990034103
1785941210675348031,-0.07029899954795837
1785941210696675579,-0.07029899954795837
1785941210715594202,-0.07029899954795837
1785941210739078890,-0.07029899954795837
1785941210755523976,-0.07029899954795837
1785941210775563826,-0.07029899954795837
1785941210796380315,-0.07029899954795837
1785941210815922866,-0.07029899954795837
1785941210835997149,-0.07029899954795837
1785941210855926371,-0.07029899954795837
1785941210874760926,-0.06964199990034103
1785941210895609544,-0.06964199990034103
1785941210915614865,-0.06964199990034103
1785941210936746821,-0.06964199990034103
1785941210956323997,-0.06964199990034103
1785941210976309317,-0.06964199990034103
1785941210996460756,-0.06964199990034103
1785941211016073709,-0.06964199990034103
1785941211037227235,-0.06964199990034103
1785941211056406443,-0.06964199990034103
1785941211076730496,-0.07029899954795837
1785941211097265790,-0.07161299884319305
1785941211118821027,-0.07161299884319305
1785941211136935938,-0.07161299884319305
1785941211156989517,-0.07161299884319305
1785941211177241055,-0.07161299884319305
1785941211197753628,-0.07095599919557571
1785941211217023592,-0.07029899954795837
1785941211238011703,-0.07029899954795837
1785941211262742999,-0.07029899954795837
1785941211274876814,-0.06964199990034103
1785941211297921709,-0.0689850002527237
1785941211315602940,-0.06767100095748901
1785941211336233533,-0.06767100095748901
1785941211355914873,-0.06767100095748901
1785941211375380077,-0.06832800060510635
1785941211395975084,-0.06832800060510635
1785941211415461889,-0.06832800060510635
1785941211437299537,-0.06832800060510635
1785941211455866658,-0.06832800060510635
1785941211476135189,-0.06832800060510635
1785941211495848434,-0.06767100095748901
1785941211516202537,-0.06701400130987167
1785941211536182417,-0.06701400130987167
1785941211555699334,-0.06701400130987167
