t_ns,steer_angle_cmd,steer_rate_cmd,vel_cmd,accel_cmd
1785948192357904710,-0.3779999911785126,-0.4363323152065277,-0.25,-0.03483197093009949
1785948192455602917,-0.3779999911785126,-0.4334678649902344,-0.25,0.04019707068800926
1785948192556882479,-0.3779999911785126,-0.4363323152065277,-0.25,0.09212348610162735
1785948192658827789,-0.3779999911785126,-0.3766630291938782,-0.25,0.03173340484499931
1785948192754886203,-0.3779999911785126,-0.35714197158813477,-0.25,0.05900626257061958
1785948192858390120,-0.3779999911785126,-0.42798253893852234,-0.25,-0.007221311330795288
1785948192956180714,-0.3779999911785126,-0.15273712575435638,-0.25,-0.028958270326256752
1785948193067400828,-0.3779999911785126,-0.15170487761497498,-0.25,-0.014598320238292217
1785948193155117554,-0.3779999911785126,-0.153468057513237,-0.25,-0.0361960306763649
1785948193258763843,-0.3779999911785126,-0.21962721645832062,-0.25,0.00987280160188675
1785948193359575135,-0.3672161102294922,0.10783901065587997,-0.25,0.06037593260407448
1785948193456145245,-0.3461173176765442,0.21098795533180237,-0.25,0.03743154555559158
1785948193554385676,-0.33911266922950745,0.07004646956920624,-0.25,0.022304434329271317
1785948193655734360,-0.3213024437427521,0.17810213565826416,-0.25,0.008549545891582966
1785948193761171262,-0.277669221162796,0.4363323152065277,-0.25,-0.005884101614356041
1785948193859721047,-0.23403598368167877,0.4363323152065277,-0.25,-0.0001501601655036211
1785948193955734628,-0.19040274620056152,0.4363323152065277,-0.25,0.021467218175530434
1785948194055028595,-0.14676952362060547,0.4363323152065277,-0.25,0.011418060399591923
1785948194157195224,-0.10313628613948822,0.4363323152065277,-0.25,-0.0029952232725918293
1785948194254775124,-0.05950305238366127,0.4363323152065277,-0.25,-0.017427215352654457
1785948194355173283,-0.01586982235312462,0.4363323152065277,-0.25,-0.008446788415312767
1785948194455860412,0.027763409540057182,0.4363323152065277,-0.25,0.023379674181342125
1785948194554349203,0.07139664143323898,0.4363323152065277,-0.25,0.05896257609128952
1785948194654093807,0.11502987146377563,0.4363323152065277,-0.25,0.011500912718474865
1785948194754819689,0.15866310894489288,0.4363323152065277,-0.25,0.01429150253534317
1785948194856747846,0.20229633152484894,0.4363323152065277,-0.25,-0.017392722889780998
1785948194956233819,0.2459295690059662,0.4363323152065277,-0.25,-0.01889633946120739
1785948195054238467,0.28956279158592224,0.4363323152065277,-0.25,-0.0030559999868273735
1785948195157573739,0.3331960439682007,0.4363323152065277,-0.25,0.043066296726465225
1785948195259187935,0.37682926654815674,0.4363323152065277,-0.25,0.03307591378688812
1785948195353392790,0.3779999911785126,0.4363323152065277,-0.25,0.025854507461190224
1785948195453978731,0.3779999911785126,0.4363323152065277,-0.25,0.005675472319126129
1785948195553800490,0.3779999911785126,0.4363323152065277,-0.25,-0.003006670856848359
1785948195655306587,0.3779999911785126,0.4363323152065277,-0.25,0.005617956630885601
1785948195755953330,0.3779999911785126,0.4363323152065277,-0.25,0.01571742445230484
1785948195858756713,0.3779999911785126,0.4363323152065277,-0.25,0.0042150067165493965
1785948195953744632,0.3779999911785126,0.4363323152065277,-0.25,0.0128425732254982
1785948196053534262,0.3779999911785126,0.4363323152065277,-0.25,0.024373764172196388
1785948196153891428,0.3779999911785126,0.4363323152065277,-0.25,0.025838544592261314
1785948196261346342,0.3779999911785126,0.4363323152065277,-0.25,0.015757547691464424
1785948196353368509,0.3779999911785126,0.4363323152065277,-0.25,0.008528879843652248
1785948196454576549,0.3779999911785126,0.4363323152065277,-0.25,0.009961939416825771
1785948196557258713,0.3779999911785126,0.4363323152065277,-0.25,0.014285801909863949
1785948196654350598,0.3779999911785126,0.4363323152065277,-0.25,0.004202141892164946
1785948196753619732,0.3779999911785126,0.4363323152065277,-0.25,-0.03469664976000786
1785948196854920927,0.3779999911785126,0.4363323152065277,-0.25,-0.030448826029896736
1785948196961407300,0.3779999911785126,0.4363323152065277,-0.25,0.05452282726764679
1785948197056999045,0.3779999911785126,0.4363323152065277,-0.25,0.056144289672374725
1785948197164735567,0.3779999911785126,0.4363323152065277,-0.25,0.011503779329359531
1785948197257462234,0.3779999911785126,0.4363323152065277,-0.25,0.010207824409008026
1785948197358595104,0.3779999911785126,0.4363323152065277,-0.25,0.009965281002223492
